row_index,error_type,input,correction,similarity,decision
18,主谓一致,The texts is humorous.,The texts are humorous.,0.889,keep
25,主谓一致,The warnings is serious.,The warnings are serious.,0.898,keep
67,时态一致,I remembered he was planning to go shopping.,I remembered he had planned to go shopping.,0.897,drop
126,主谓一致,The websites is popular.,The websites are popular.,0.898,keep
142,时态一致,He told me he had been playing soccer.,He told me he plays soccer.,0.800,drop
161,主谓一致,The tweets is viral.,The tweets are viral.,0.878,keep
201,主谓一致,The opinions is diverse.,The opinions are diverse.,0.898,keep
210,时态一致,I knew she was cooking dinner at her house.,I knew she cooked dinner at her house.,0.889,drop
248,主谓一致,The stories is famous.,The stories are famous.,0.889,keep
279,主谓一致,The updates is timely.,The updates are timely.,0.889,keep
297,时态一致,I knew she had been cooking all day.,I knew she was cooking all day.,0.866,drop
376,主谓一致,The features is unique.,The features are unique.,0.894,keep
446,主谓一致,The debates is intense.,The debates are intense.,0.894,keep
453,主谓一致,The blogs is engaging.,The blogs are engaging.,0.889,keep
507,主谓一致,The reports is vital.,The reports are vital.,0.884,keep
568,主谓一致,The leaks is shocking.,The leaks are shocking.,0.889,keep
638,主谓一致,The broadcasts is live.,The broadcasts are live.,0.894,keep
644,时态一致,I knew she would have finished her work.,I knew she had finished her work.,0.877,drop
646,定语从句,The chair which I sat on broke.,The chair that I sat on broke.,0.885,keep
702,时态一致,He told us he would be reading the book.,He told us he was reading the book.,0.880,drop
732,主谓一致,The emails is urgent.,The emails are urgent.,0.884,keep
955,时态一致,They complained he would be too loud.,They complained he was too loud.,0.870,drop
1015,主谓一致,The events is memorable.,The events are memorable.,0.898,keep
1034,主谓一致,The headlines is bold.,The headlines are bold.,0.889,keep
1066,时态一致,"If he met the president, he shook his hand.","If he met the president, he would shake his hand.",0.891,keep
1084,介词,I am familiar of his story.,I am familiar with his story.,0.893,keep
